Date,Open,High,Low,Close,Adj Close,Volume
2023-06-09,183.970001,186.990005,183.889999,186.009995,186.009995,53079800
2023-06-12,186.260010,188.389999,185.839996,188.149994,188.149994,52632800
2023-06-13,188.440002,188.669998,183.899994,183.949997,183.949997,61702900
2023-06-14,183.110001,184.169998,182.169998,183.949997,183.949997,42247900
2023-06-15,183.960007,186.520004,183.880005,186.070007,186.070007,52555500
2023-06-16,186.729996,186.990005,185.000000,186.850006,186.850006,101235600
2023-06-20,186.080002,186.100006,183.410004,185.009995,185.009995,49799100
2023-06-21,184.899994,185.250000,182.580002,183.960007,183.960007,49492700
2023-06-22,183.740005,187.050003,183.669998,185.839996,185.839996,51281500
2023-06-23,185.529999,186.500000,185.089996,186.679993,186.679993,53079100
2023-06-26,186.830002,188.050003,185.229996,185.830002,185.830002,48088700
2023-06-27,185.889999,188.389999,185.669998,188.059998,188.059998,50792300
2023-06-28,187.929993,189.250000,187.600006,189.080002,189.080002,48211100
2023-06-29,189.250000,190.070007,188.940002,189.589996,189.589996,46347300
2023-06-30,191.630005,194.479996,191.259995,193.970001,193.970001,67934200
2023-07-03,193.779999,193.880005,191.759995,192.469994,192.469994,31458200
2023-07-05,191.570007,192.979996,190.610001,191.330002,191.330002,47050800
2023-07-06,189.690002,192.020004,189.199997,191.809998,191.809998,45094300
2023-07-07,191.410004,192.669998,190.240005,190.679993,190.679993,46778000
2023-07-10,189.259995,189.990005,188.440002,189.250000,189.250000,39563300
2023-07-11,189.160004,189.300003,186.600006,188.080002,188.080002,39923200
2023-07-12,189.679993,191.699997,188.470001,189.770004,189.770004,39303800
2023-07-13,190.500000,191.190002,189.779999,190.539993,190.539993,41575700
2023-07-14,190.229996,191.169998,189.630005,190.690002,190.690002,41616200
2023-07-17,191.899994,193.470001,191.830002,193.440002,193.440002,48154100
2023-07-18,193.330002,193.740005,192.410004,193.729996,193.729996,48353800
2023-07-19,193.100006,198.229996,192.449997,195.100006,195.100006,80513700
2023-07-20,195.080002,196.470001,192.839996,193.130005,193.130005,62582100
2023-07-21,193.669998,196.440002,193.610001,196.389999,196.389999,62911200
2023-07-24,193.410004,193.660004,192.250000,192.750000,192.750000,45337800
2023-07-25,193.330002,193.660004,192.419998,193.619995,193.619995,37283200
2023-07-26,193.669998,195.639999,193.320007,194.500000,194.500000,47484800
2023-07-27,196.020004,197.190002,192.550003,193.220001,193.220001,47502800
2023-07-28,195.100006,196.630005,194.330002,195.830002,195.830002,48029100
2023-07-31,196.360001,196.449997,195.229996,196.449997,196.449997,38356200
2023-08-01,196.230007,196.729996,195.279999,195.830002,195.830002,45119000
2023-08-02,195.410004,195.530007,191.800003,192.580002,192.580002,50238300
2023-08-03,191.039993,192.369995,190.690002,191.169998,191.169998,62313800
2023-08-04,191.830002,194.100006,185.000000,185.100006,185.100006,83103800
2023-08-07,182.289993,183.130005,181.759995,181.990005,181.990005,43355700
2023-08-08,183.050003,183.130005,180.380005,181.259995,181.259995,50427600
2023-08-09,180.869995,181.220001,177.970001,178.190002,178.190002,62497900
2023-08-10,178.199997,179.110001,177.570007,177.970001,177.970001,54686900
2023-08-11,178.389999,179.289993,177.300003,178.850006,178.850006,42835600
2023-08-14,178.970001,179.690002,177.309998,179.460007,179.460007,43762300
2023-08-15,178.880005,179.479996,177.050003,177.449997,177.449997,43622600
2023-08-16,177.130005,177.839996,176.009995,176.570007,176.570007,46780900
2023-08-17,177.139999,177.509995,173.470001,174.000000,174.000000,66148000
2023-08-18,172.300003,175.100006,171.960007,174.149994,174.149994,61114200
2023-08-21,175.649994,176.130005,174.550003,175.839996,175.839996,46397100
2023-08-22,176.770004,177.270004,176.250000,177.229996,177.229996,42084200
2023-08-23,177.300003,178.520004,175.830002,176.380005,176.380005,52391900
2023-08-24,176.610001,176.670002,174.860001,176.320007,176.320007,49945700
2023-08-25,177.380005,177.929993,175.820007,177.279999,177.279999,51981200
2023-08-28,177.970001,180.589996,177.000000,180.190002,180.190002,43807000
2023-08-29,179.699997,184.149994,179.000000,183.630005,183.630005,53003900
2023-08-30,184.110001,187.850006,183.949997,187.649994,187.649994,60897100
2023-08-31,187.839996,189.110001,187.479996,189.100006,189.100006,60700100
2023-09-01,189.490005,189.919998,188.279999,189.460007,189.460007,46141400
2023-09-05,189.690002,189.979996,187.600006,189.699997,189.699997,45248200
2023-09-06,186.550003,187.830002,182.619995,182.910004,182.910004,81311900
2023-10-06,186.650003,287.830002,282.619995,282.910004,282.910004,91311900
2023-11-06,186.650003,287.830002,282.619995,282.910004,282.910004,91311900
